"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Wells, Austin",669224,2026,325,199,0.182,0.209,-0.027,0.312,0.353,-0.041,0.264,0.29,-0.026
"Heim, Jonah",641680,2026,322,237,0.212,0.231,-0.019,0.389,0.377,0.012,0.29,0.296,-0.006
"Triolo, Jared",669707,2026,322,225,0.247,0.249,-0.002,0.319,0.327,-0.008,0.291,0.294,-0.003
"Monasterio, Andruw",655316,2026,318,232,0.248,0.24,0.008,0.399,0.371,0.028,0.31,0.299,0.011
"Hoskins, Rhys",656555,2026,317,167,0.179,0.174,0.005,0.376,0.348,0.028,0.305,0.297,0.008
"Ruiz, Keibert",660688,2026,314,261,0.283,0.243,0.04,0.451,0.362,0.089,0.334,0.283,0.051
"Garcia, Maikel",672580,2026,309,238,0.269,0.276,-0.007,0.385,0.377,0.008,0.313,0.317,-0.004
"Vivas, Jorbit",678391,2026,309,228,0.24,0.242,-0.002,0.324,0.321,0.003,0.301,0.3,0.001
"Fermín, José",665877,2026,308,238,0.24,0.249,-0.009,0.356,0.34,0.016,0.295,0.294,0.001
"McMahon, Ryan",641857,2026,306,187,0.216,0.235,-0.019,0.367,0.395,-0.028,0.288,0.304,-0.016
"Caissie, Owen",683357,2026,304,163,0.222,0.211,0.011,0.419,0.403,0.016,0.305,0.3,0.005
"Holliday, Jackson",702616,2026,304,200,0.23,0.239,-0.009,0.347,0.361,-0.014,0.294,0.304,-0.01
"Norby, Connor",681393,2026,303,172,0.226,0.208,0.018,0.36,0.344,0.016,0.313,0.298,0.015
"Yoshida, Masataka",807799,2026,297,233,0.274,0.262,0.012,0.399,0.372,0.027,0.33,0.318,0.012
"Jeffers, Ryan",680777,2026,296,204,0.275,0.252,0.023,0.49,0.444,0.046,0.378,0.357,0.021
"DeLuca, Jonny",676356,2026,296,222,0.267,0.237,0.03,0.434,0.34,0.094,0.319,0.268,0.051
"Vaughn, Andrew",683734,2026,292,209,0.31,0.271,0.039,0.448,0.388,0.06,0.373,0.338,0.035
"Vierling, Matt",663837,2026,291,223,0.207,0.256,-0.049,0.335,0.381,-0.046,0.259,0.304,-0.045
"Young, Jared",676724,2026,290,211,0.269,0.242,0.027,0.443,0.393,0.05,0.336,0.31,0.026
"Montgomery, Braden",695731,2026,288,197,0.224,0.252,-0.028,0.354,0.382,-0.028,0.3,0.322,-0.022
